job_role,main_skill,additional_skills,education,experience_years,projects_count,certifications_count,is_user_ready_for_job,targeted_job,skills_required_to_learn
Python Developer,"Python, Flask, Django","REST API, MongoDB, CI/CD, DSA",BCA,3-5,2,0,No,Python Developer,"Python, Django"
Java Developer,"Java, OOP, Spring","Linux, Git, AWS, System Design",Diploma,Fresher,5,2,Yes,Java Developer,None
Backend Developer,"Java, Spring Boot, Node.js","Git, CI/CD",M.Sc,0-1,1,0,No,Backend Developer,"Java, Node.js"
Java Developer,"Java, OOP, Spring","REST API, Git",M.Sc,Fresher,5,1,Yes,Java Developer,None
Data Scientist,"Python, Machine Learning, Statistics","Firebase, Docker, Linux, REST API, CI/CD",Diploma,3-5,1,1,No,Data Scientist,Python
Flutter Developer,"Dart, Flutter","Firebase, Docker",M.Sc,3-5,6,3,Yes,Flutter Developer,None
Frontend Developer,"HTML, CSS, JavaScript","Git, AWS",B.Tech,0-1,1,1,No,Frontend Developer,"HTML, JavaScript"
Java Developer,"Java, OOP, Spring","Firebase, System Design, Docker, CI/CD, Git",BCA,0-1,6,2,Yes,Java Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","DSA, REST API, Linux",M.Sc,1-3,4,3,Yes,ML Engineer,None
Flutter Developer,"Dart, Flutter","Git, REST API, MongoDB, Firebase, Docker",M.Sc,0-1,2,3,Yes,Flutter Developer,None
Java Developer,"Java, OOP, Spring","Git, Firebase",B.Sc,Fresher,4,4,Yes,Java Developer,None
Python Developer,"Python, Flask, Django","AWS, CI/CD",BCA,Fresher,1,0,No,Python Developer,Python
Backend Developer,"Java, Spring Boot, Node.js","MongoDB, Firebase, Linux, Docker, CI/CD",B.Tech,Fresher,1,4,No,Backend Developer,Java
Data Analyst,"Python, SQL, Excel","CI/CD, DSA",B.Tech,0-1,2,0,No,Data Analyst,"Excel, SQL, Python"
Python Developer,"Python, Flask, Django","Linux, CI/CD",B.Sc,3-5,0,0,No,Python Developer,Python
Full Stack Developer,"JavaScript, React, Node.js","Linux, REST API, Docker, Firebase, CI/CD",B.Sc,0-1,3,3,Yes,Full Stack Developer,None
Full Stack Developer,"JavaScript, React, Node.js","MongoDB, Firebase",BCA,0-1,1,2,No,Full Stack Developer,"JavaScript, React, Node.js"
Python Developer,"Python, Flask, Django","Docker, Linux, DSA",B.Sc,Fresher,6,4,Yes,Python Developer,None
Flutter Developer,"Dart, Flutter","System Design, DSA, Firebase, Docker",BCA,3-5,2,0,No,Flutter Developer,Dart
Flutter Developer,"Dart, Flutter","MongoDB, Linux, REST API",Diploma,1-3,3,3,Yes,Flutter Developer,None
Flutter Developer,"Dart, Flutter","REST API, DSA",BCA,0-1,3,3,Yes,Flutter Developer,None
Java Developer,"Java, OOP, Spring","Linux, Docker",Diploma,0-1,5,0,No,Java Developer,"Java, Spring, OOP"
Backend Developer,"Java, Spring Boot, Node.js","System Design, REST API",Diploma,0-1,0,4,No,Backend Developer,"Java, Spring Boot"
Frontend Developer,"HTML, CSS, JavaScript","System Design, CI/CD, Firebase, AWS",B.Tech,1-3,1,4,No,Frontend Developer,"CSS, JavaScript, HTML"
Data Scientist,"Python, Machine Learning, Statistics","MongoDB, Linux, Docker, Git",B.Sc,1-3,3,2,Yes,Data Scientist,None
Flutter Developer,"Dart, Flutter","Docker, DSA",BCA,1-3,3,2,Yes,Flutter Developer,None
Full Stack Developer,"JavaScript, React, Node.js","CI/CD, DSA, REST API, Firebase",M.Sc,1-3,6,4,Yes,Full Stack Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","Git, MongoDB, System Design, AWS",B.Tech,Fresher,3,0,No,ML Engineer,"Deep Learning, Python"
Java Developer,"Java, OOP, Spring","Linux, System Design",B.Sc,Fresher,6,2,Yes,Java Developer,None
Data Analyst,"Python, SQL, Excel","DSA, AWS",Diploma,1-3,6,0,No,Data Analyst,"SQL, Excel"
Java Developer,"Java, OOP, Spring","AWS, Docker, MongoDB",B.Sc,Fresher,1,2,No,Java Developer,OOP
Data Analyst,"Python, SQL, Excel","CI/CD, REST API",B.Sc,0-1,4,2,Yes,Data Analyst,None
ML Engineer,"Python, Deep Learning, TensorFlow","DSA, AWS, Git",B.Sc,0-1,4,0,No,ML Engineer,"Deep Learning, TensorFlow"
Frontend Developer,"HTML, CSS, JavaScript","AWS, System Design, MongoDB, Docker, REST API",MCA,0-1,2,2,Yes,Frontend Developer,None
Data Analyst,"Python, SQL, Excel","Linux, AWS",MCA,0-1,0,0,No,Data Analyst,"Python, SQL"
Data Scientist,"Python, Machine Learning, Statistics","Firebase, Docker, REST API, CI/CD, DSA",B.Tech,Fresher,3,2,Yes,Data Scientist,None
Full Stack Developer,"JavaScript, React, Node.js","DSA, Docker, Git, Linux, MongoDB",Diploma,Fresher,2,1,Yes,Full Stack Developer,None
Data Scientist,"Python, Machine Learning, Statistics","DSA, System Design, AWS",Diploma,Fresher,4,3,Yes,Data Scientist,None
Full Stack Developer,"JavaScript, React, Node.js","DSA, Docker",B.Sc,Fresher,0,4,No,Full Stack Developer,"Node.js, React, JavaScript"
Data Scientist,"Python, Machine Learning, Statistics","System Design, Git, Linux, CI/CD",M.Sc,0-1,0,3,No,Data Scientist,"Statistics, Machine Learning"
Data Analyst,"Python, SQL, Excel","DSA, Linux, Git, Firebase",B.Tech,3-5,0,4,No,Data Analyst,Excel
Backend Developer,"Java, Spring Boot, Node.js","Linux, Firebase, REST API, Docker, CI/CD",BCA,Fresher,1,2,No,Backend Developer,"Node.js, Spring Boot, Java"
Data Scientist,"Python, Machine Learning, Statistics","CI/CD, REST API, Firebase",MCA,0-1,0,0,No,Data Scientist,Statistics
Java Developer,"Java, OOP, Spring","AWS, Firebase, MongoDB, Docker, REST API",B.Tech,1-3,4,1,Yes,Java Developer,None
Java Developer,"Java, OOP, Spring","Docker, MongoDB, Firebase, Git",M.Sc,1-3,5,1,Yes,Java Developer,None
Android Developer,"Java, Kotlin, Android SDK","Linux, Docker, Git, MongoDB, CI/CD",BCA,0-1,1,1,No,Android Developer,"Android SDK, Java"
Android Developer,"Java, Kotlin, Android SDK","DSA, Linux, Git",Diploma,0-1,2,3,Yes,Android Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","Docker, DSA, System Design",B.Tech,Fresher,0,3,No,ML Engineer,Python
ML Engineer,"Python, Deep Learning, TensorFlow","AWS, Docker",Diploma,0-1,4,2,Yes,ML Engineer,None
ML Engineer,"Python, Deep Learning, TensorFlow","CI/CD, System Design",Diploma,Fresher,5,2,Yes,ML Engineer,None
Full Stack Developer,"JavaScript, React, Node.js","MongoDB, AWS",M.Sc,1-3,4,0,No,Full Stack Developer,JavaScript
Backend Developer,"Java, Spring Boot, Node.js","System Design, Git, Firebase, DSA, Linux",BCA,1-3,5,3,Yes,Backend Developer,None
Backend Developer,"Java, Spring Boot, Node.js","Git, CI/CD, MongoDB",MCA,1-3,3,1,Yes,Backend Developer,None
Frontend Developer,"HTML, CSS, JavaScript","DSA, AWS, Docker",B.Sc,0-1,0,3,No,Frontend Developer,"CSS, JavaScript"
Flutter Developer,"Dart, Flutter","MongoDB, Docker",B.Sc,Fresher,4,2,Yes,Flutter Developer,None
Backend Developer,"Java, Spring Boot, Node.js","Firebase, REST API",Diploma,3-5,6,2,Yes,Backend Developer,None
Data Scientist,"Python, Machine Learning, Statistics","System Design, MongoDB, CI/CD, Linux",B.Tech,Fresher,4,4,Yes,Data Scientist,None
Backend Developer,"Java, Spring Boot, Node.js","AWS, DSA, MongoDB, REST API",MCA,Fresher,3,3,Yes,Backend Developer,None
Backend Developer,"Java, Spring Boot, Node.js","DSA, Git, Firebase",B.Sc,3-5,1,0,No,Backend Developer,Node.js
Flutter Developer,"Dart, Flutter","MongoDB, Docker, DSA, Linux, System Design",MCA,Fresher,3,3,Yes,Flutter Developer,None
Data Analyst,"Python, SQL, Excel","Docker, Linux, Git, AWS, System Design",MCA,Fresher,0,4,No,Data Analyst,"Excel, Python, SQL"
Backend Developer,"Java, Spring Boot, Node.js","AWS, MongoDB, Git, System Design, CI/CD",MCA,3-5,4,2,Yes,Backend Developer,None
Frontend Developer,"HTML, CSS, JavaScript","CI/CD, Linux, MongoDB, Git, REST API",B.Sc,3-5,3,2,Yes,Frontend Developer,None
Data Scientist,"Python, Machine Learning, Statistics","AWS, CI/CD",B.Sc,Fresher,0,1,No,Data Scientist,"Python, Machine Learning"
Full Stack Developer,"JavaScript, React, Node.js","REST API, System Design, Firebase",B.Sc,Fresher,6,0,No,Full Stack Developer,"JavaScript, React, Node.js"
Data Scientist,"Python, Machine Learning, Statistics","Docker, DSA, CI/CD, REST API, Firebase",B.Sc,1-3,1,3,No,Data Scientist,"Statistics, Machine Learning, Python"
Data Analyst,"Python, SQL, Excel","Linux, System Design, Docker",Diploma,Fresher,1,3,No,Data Analyst,SQL
Data Scientist,"Python, Machine Learning, Statistics","System Design, Firebase",B.Sc,Fresher,1,4,No,Data Scientist,Python
ML Engineer,"Python, Deep Learning, TensorFlow","MongoDB, AWS",M.Sc,0-1,5,2,Yes,ML Engineer,None
Flutter Developer,"Dart, Flutter","AWS, CI/CD",MCA,0-1,1,4,No,Flutter Developer,Flutter
ML Engineer,"Python, Deep Learning, TensorFlow","MongoDB, REST API, Linux",Diploma,Fresher,1,2,No,ML Engineer,"Python, TensorFlow"
Android Developer,"Java, Kotlin, Android SDK","Linux, System Design, Firebase, DSA",BCA,Fresher,5,2,Yes,Android Developer,None
Full Stack Developer,"JavaScript, React, Node.js","AWS, Git, CI/CD, Firebase, System Design",B.Tech,0-1,0,3,No,Full Stack Developer,"Node.js, JavaScript"
Android Developer,"Java, Kotlin, Android SDK","DSA, Git, Firebase, Docker",BCA,3-5,5,2,Yes,Android Developer,None
Android Developer,"Java, Kotlin, Android SDK","System Design, AWS",MCA,Fresher,1,4,No,Android Developer,"Android SDK, Kotlin"
Data Scientist,"Python, Machine Learning, Statistics","DSA, Firebase, Git, System Design",BCA,1-3,5,1,Yes,Data Scientist,None
Flutter Developer,"Dart, Flutter","CI/CD, DSA, Docker",MCA,3-5,6,3,Yes,Flutter Developer,None
Flutter Developer,"Dart, Flutter","CI/CD, System Design, MongoDB, REST API",MCA,3-5,3,3,Yes,Flutter Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","CI/CD, REST API, System Design, Firebase, MongoDB",Diploma,3-5,4,4,Yes,ML Engineer,None
Backend Developer,"Java, Spring Boot, Node.js","Linux, MongoDB, Firebase, AWS",BCA,1-3,4,3,Yes,Backend Developer,None
Java Developer,"Java, OOP, Spring","DSA, Docker, Git, REST API",BCA,0-1,2,1,Yes,Java Developer,None
Data Analyst,"Python, SQL, Excel","Git, CI/CD, AWS",B.Tech,3-5,0,4,No,Data Analyst,"Python, Excel, SQL"
Backend Developer,"Java, Spring Boot, Node.js","MongoDB, System Design, Docker",B.Tech,1-3,5,3,Yes,Backend Developer,None
Flutter Developer,"Dart, Flutter","MongoDB, DSA, REST API, Git, CI/CD",BCA,1-3,0,4,No,Flutter Developer,"Dart, Flutter"
Full Stack Developer,"JavaScript, React, Node.js","AWS, Linux, MongoDB, System Design",BCA,1-3,2,0,No,Full Stack Developer,JavaScript
Python Developer,"Python, Flask, Django","CI/CD, MongoDB, REST API",M.Sc,0-1,5,4,Yes,Python Developer,None
Android Developer,"Java, Kotlin, Android SDK","CI/CD, REST API, Firebase, Linux, DSA",BCA,3-5,1,1,No,Android Developer,Android SDK
ML Engineer,"Python, Deep Learning, TensorFlow","Linux, REST API, Firebase, AWS",B.Tech,3-5,4,3,Yes,ML Engineer,None
Android Developer,"Java, Kotlin, Android SDK","DSA, CI/CD, Linux, Git, Docker",B.Sc,3-5,3,2,Yes,Android Developer,None
Data Analyst,"Python, SQL, Excel","Git, CI/CD, MongoDB, Firebase, System Design",M.Sc,3-5,5,4,Yes,Data Analyst,None
Frontend Developer,"HTML, CSS, JavaScript","System Design, Docker, DSA",Diploma,0-1,3,1,Yes,Frontend Developer,None
Backend Developer,"Java, Spring Boot, Node.js","Firebase, Linux",BCA,1-3,5,3,Yes,Backend Developer,None
Data Analyst,"Python, SQL, Excel","MongoDB, Firebase",B.Tech,1-3,5,1,Yes,Data Analyst,None
Data Analyst,"Python, SQL, Excel","CI/CD, AWS",M.Sc,Fresher,6,3,Yes,Data Analyst,None
Data Scientist,"Python, Machine Learning, Statistics","Firebase, AWS",Diploma,3-5,4,2,Yes,Data Scientist,None
Full Stack Developer,"JavaScript, React, Node.js","Linux, REST API",M.Sc,Fresher,2,4,Yes,Full Stack Developer,None
Frontend Developer,"HTML, CSS, JavaScript","System Design, Linux",Diploma,3-5,6,2,Yes,Frontend Developer,None
Frontend Developer,"HTML, CSS, JavaScript","Firebase, DSA, MongoDB, AWS",MCA,Fresher,5,3,Yes,Frontend Developer,None
Data Scientist,"Python, Machine Learning, Statistics","CI/CD, DSA, Linux, REST API, Firebase",MCA,0-1,1,1,No,Data Scientist,Statistics
Data Scientist,"Python, Machine Learning, Statistics","Firebase, Linux, REST API, CI/CD, Git",M.Sc,3-5,4,4,Yes,Data Scientist,None
ML Engineer,"Python, Deep Learning, TensorFlow","CI/CD, Git, System Design, REST API, Linux",B.Tech,0-1,2,3,Yes,ML Engineer,None
Frontend Developer,"HTML, CSS, JavaScript","Firebase, MongoDB, Git, AWS",B.Sc,Fresher,0,3,No,Frontend Developer,"CSS, JavaScript, HTML"
Android Developer,"Java, Kotlin, Android SDK","REST API, Docker",BCA,3-5,2,2,Yes,Android Developer,None
Android Developer,"Java, Kotlin, Android SDK","Git, Firebase, AWS, Linux",B.Sc,Fresher,3,1,Yes,Android Developer,None
Data Scientist,"Python, Machine Learning, Statistics","DSA, System Design, Git, CI/CD",B.Tech,1-3,3,0,No,Data Scientist,"Machine Learning, Statistics, Python"
Data Scientist,"Python, Machine Learning, Statistics","Linux, Docker, AWS, REST API",BCA,1-3,3,1,Yes,Data Scientist,None
Flutter Developer,"Dart, Flutter","MongoDB, Linux, REST API, System Design",Diploma,1-3,6,1,Yes,Flutter Developer,None
Flutter Developer,"Dart, Flutter","Linux, Docker, MongoDB, REST API, CI/CD",MCA,0-1,4,1,Yes,Flutter Developer,None
Data Scientist,"Python, Machine Learning, Statistics","System Design, Firebase",M.Sc,3-5,5,2,Yes,Data Scientist,None
Python Developer,"Python, Flask, Django","Firebase, DSA, System Design, AWS",MCA,3-5,6,3,Yes,Python Developer,None
Frontend Developer,"HTML, CSS, JavaScript","AWS, Git, Docker, CI/CD, REST API",B.Tech,Fresher,3,1,Yes,Frontend Developer,None
Data Analyst,"Python, SQL, Excel","DSA, MongoDB, CI/CD, Linux, Docker",B.Tech,Fresher,3,1,Yes,Data Analyst,None
Data Analyst,"Python, SQL, Excel","CI/CD, AWS, Docker, Linux, DSA",BCA,1-3,3,1,Yes,Data Analyst,None
Flutter Developer,"Dart, Flutter","REST API, MongoDB, CI/CD",MCA,Fresher,1,3,No,Flutter Developer,"Flutter, Dart"
Android Developer,"Java, Kotlin, Android SDK","MongoDB, AWS, Git, Linux",BCA,0-1,2,0,No,Android Developer,Kotlin
Python Developer,"Python, Flask, Django","System Design, Docker, Firebase, Git",BCA,3-5,0,2,No,Python Developer,"Python, Flask"
Full Stack Developer,"JavaScript, React, Node.js","System Design, AWS",B.Tech,3-5,0,4,No,Full Stack Developer,"JavaScript, Node.js, React"
Full Stack Developer,"JavaScript, React, Node.js","Git, Firebase",MCA,0-1,1,4,No,Full Stack Developer,"React, JavaScript"
Java Developer,"Java, OOP, Spring","REST API, CI/CD, Linux, Firebase, Docker",BCA,Fresher,0,3,No,Java Developer,"OOP, Java, Spring"
Frontend Developer,"HTML, CSS, JavaScript","AWS, REST API, Firebase",M.Sc,Fresher,6,2,Yes,Frontend Developer,None
Frontend Developer,"HTML, CSS, JavaScript","Docker, MongoDB, DSA, AWS, Firebase",B.Tech,Fresher,6,0,No,Frontend Developer,JavaScript
Full Stack Developer,"JavaScript, React, Node.js","CI/CD, System Design",MCA,Fresher,5,2,Yes,Full Stack Developer,None
Python Developer,"Python, Flask, Django","AWS, System Design, CI/CD, MongoDB, DSA",B.Tech,3-5,5,3,Yes,Python Developer,None
Android Developer,"Java, Kotlin, Android SDK","AWS, Docker, Linux, DSA, System Design",B.Tech,3-5,6,0,No,Android Developer,"Java, Android SDK, Kotlin"
Backend Developer,"Java, Spring Boot, Node.js","AWS, Firebase, Docker, DSA",MCA,Fresher,3,3,Yes,Backend Developer,None
Java Developer,"Java, OOP, Spring","Git, MongoDB, Firebase",M.Sc,0-1,4,1,Yes,Java Developer,None
Java Developer,"Java, OOP, Spring","DSA, Docker, Firebase",M.Sc,Fresher,5,4,Yes,Java Developer,None
Java Developer,"Java, OOP, Spring","Firebase, AWS, MongoDB",Diploma,1-3,4,4,Yes,Java Developer,None
Data Analyst,"Python, SQL, Excel","AWS, System Design",B.Sc,Fresher,6,2,Yes,Data Analyst,None
Frontend Developer,"HTML, CSS, JavaScript","Firebase, DSA, REST API",B.Tech,Fresher,4,2,Yes,Frontend Developer,None
Backend Developer,"Java, Spring Boot, Node.js","Linux, Git",B.Sc,0-1,4,4,Yes,Backend Developer,None
Flutter Developer,"Dart, Flutter","Git, AWS, Linux, CI/CD, Firebase",B.Tech,1-3,1,4,No,Flutter Developer,Flutter
ML Engineer,"Python, Deep Learning, TensorFlow","AWS, DSA, CI/CD",M.Sc,Fresher,5,1,Yes,ML Engineer,None
Full Stack Developer,"JavaScript, React, Node.js","Docker, AWS, Git, DSA",M.Sc,0-1,0,4,No,Full Stack Developer,JavaScript
Full Stack Developer,"JavaScript, React, Node.js","System Design, CI/CD",BCA,3-5,3,3,Yes,Full Stack Developer,None
Flutter Developer,"Dart, Flutter","System Design, MongoDB, CI/CD",MCA,1-3,5,1,Yes,Flutter Developer,None
Full Stack Developer,"JavaScript, React, Node.js","REST API, Linux, Git, DSA, Docker",B.Tech,1-3,5,3,Yes,Full Stack Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","DSA, Docker",MCA,1-3,4,1,Yes,ML Engineer,None
Data Analyst,"Python, SQL, Excel","AWS, Docker, Linux, REST API",BCA,3-5,4,1,Yes,Data Analyst,None
Flutter Developer,"Dart, Flutter","REST API, Git",B.Tech,Fresher,1,3,No,Flutter Developer,"Flutter, Dart"
Backend Developer,"Java, Spring Boot, Node.js","System Design, MongoDB, DSA, REST API",MCA,Fresher,1,4,No,Backend Developer,Spring Boot
ML Engineer,"Python, Deep Learning, TensorFlow","Firebase, MongoDB, Docker, AWS, Git",BCA,0-1,6,3,Yes,ML Engineer,None
Java Developer,"Java, OOP, Spring","DSA, AWS, Firebase, Git",B.Tech,3-5,0,3,No,Java Developer,"Spring, OOP"
Backend Developer,"Java, Spring Boot, Node.js","AWS, REST API",Diploma,0-1,3,0,No,Backend Developer,Node.js
Full Stack Developer,"JavaScript, React, Node.js","System Design, AWS, MongoDB, Firebase, Git",BCA,Fresher,0,0,No,Full Stack Developer,"React, Node.js"
Backend Developer,"Java, Spring Boot, Node.js","DSA, Firebase, AWS, System Design, MongoDB",B.Tech,1-3,1,1,No,Backend Developer,"Spring Boot, Node.js"
Java Developer,"Java, OOP, Spring","CI/CD, REST API, DSA, MongoDB",Diploma,3-5,5,3,Yes,Java Developer,None
Frontend Developer,"HTML, CSS, JavaScript","DSA, Docker, CI/CD",Diploma,Fresher,4,2,Yes,Frontend Developer,None
Backend Developer,"Java, Spring Boot, Node.js","REST API, System Design, DSA, Git",BCA,Fresher,2,0,No,Backend Developer,"Spring Boot, Node.js"
Java Developer,"Java, OOP, Spring","DSA, System Design, CI/CD, REST API, Git",Diploma,Fresher,6,3,Yes,Java Developer,None
Flutter Developer,"Dart, Flutter","AWS, CI/CD, DSA, Linux, Git",BCA,1-3,2,0,No,Flutter Developer,Dart
Frontend Developer,"HTML, CSS, JavaScript","REST API, CI/CD, Git, System Design",BCA,0-1,3,2,Yes,Frontend Developer,None
Full Stack Developer,"JavaScript, React, Node.js","Git, Docker",BCA,1-3,4,2,Yes,Full Stack Developer,None
Data Scientist,"Python, Machine Learning, Statistics","Linux, Git, System Design",M.Sc,Fresher,3,1,Yes,Data Scientist,None
Full Stack Developer,"JavaScript, React, Node.js","Firebase, CI/CD, Linux",Diploma,0-1,4,1,Yes,Full Stack Developer,None
Full Stack Developer,"JavaScript, React, Node.js","MongoDB, Firebase, Linux",B.Tech,1-3,2,2,Yes,Full Stack Developer,None
Data Scientist,"Python, Machine Learning, Statistics","System Design, REST API, DSA",BCA,Fresher,4,4,Yes,Data Scientist,None
ML Engineer,"Python, Deep Learning, TensorFlow","Firebase, Git, System Design, Docker",M.Sc,1-3,6,2,Yes,ML Engineer,None
ML Engineer,"Python, Deep Learning, TensorFlow","Docker, System Design, Firebase",BCA,Fresher,1,4,No,ML Engineer,TensorFlow
Data Analyst,"Python, SQL, Excel","CI/CD, DSA, MongoDB, Firebase, AWS",B.Tech,1-3,6,2,Yes,Data Analyst,None
Data Analyst,"Python, SQL, Excel","System Design, AWS, REST API, Git, CI/CD",MCA,0-1,5,2,Yes,Data Analyst,None
Python Developer,"Python, Flask, Django","CI/CD, Docker, MongoDB, System Design, Firebase",BCA,0-1,3,4,Yes,Python Developer,None
Flutter Developer,"Dart, Flutter","System Design, MongoDB",MCA,Fresher,1,3,No,Flutter Developer,Flutter
Flutter Developer,"Dart, Flutter","MongoDB, CI/CD, Git",B.Sc,1-3,0,0,No,Flutter Developer,"Dart, Flutter"
Backend Developer,"Java, Spring Boot, Node.js","Linux, CI/CD",Diploma,Fresher,2,4,Yes,Backend Developer,None
Data Scientist,"Python, Machine Learning, Statistics","AWS, Docker, Firebase",MCA,1-3,4,3,Yes,Data Scientist,None
Flutter Developer,"Dart, Flutter","AWS, REST API, MongoDB, System Design, DSA",M.Sc,Fresher,2,4,Yes,Flutter Developer,None
Python Developer,"Python, Flask, Django","AWS, Git, REST API, DSA",Diploma,0-1,5,4,Yes,Python Developer,None
Python Developer,"Python, Flask, Django","DSA, CI/CD, Docker, AWS, MongoDB",B.Sc,0-1,4,0,No,Python Developer,"Python, Django"
Android Developer,"Java, Kotlin, Android SDK","CI/CD, Git, MongoDB",B.Tech,1-3,2,0,No,Android Developer,"Java, Android SDK"
Python Developer,"Python, Flask, Django","Firebase, Docker, CI/CD, MongoDB, Linux",B.Sc,0-1,3,1,Yes,Python Developer,None
Java Developer,"Java, OOP, Spring","Docker, Linux, CI/CD, REST API, MongoDB",M.Sc,1-3,5,1,Yes,Java Developer,None
Backend Developer,"Java, Spring Boot, Node.js","Docker, REST API, CI/CD, Firebase, Linux",Diploma,0-1,1,2,No,Backend Developer,Java
